season_year,game_date,game_start_utc,player_name,team,opponent_team,travel_status,result,minutes_played,fgm,fga,fg_pct,ftm,fta,ft_pct,oreb,dreb,ast,tov,stl,blk,pf,pts,plus_minus,nba_fantasy_pts,seconds_played,post_type,post_count,total_comments,total_score
2025-26,2026-02-12,2026-02-13 03:00:00.000000 UTC,Marvin Bagley III,DAL,LAL,away,L,20.083333333333332,3,7,0.429,1,2,0.5,0,4,0,0,1,0,3,7,-18,14.8,1205,Highlight,1,6,69
2025-26,2026-02-12,2026-02-13 03:00:00.000000 UTC,Naji Marshall,DAL,LAL,away,L,29.133333333333333,8,13,0.615,3,5,0.6,0,2,4,2,2,0,2,19,-2,31.4,1748,Highlight,1,2,0
2025-26,2026-02-12,2026-02-13 03:00:00.000000 UTC,Austin Reaves,LAL,DAL,home,W,28.45,5,10,0.5,7,9,0.778,1,3,6,2,0,0,2,18,6,29.8,1707,Highlight,2,9,27
2025-26,2026-02-12,2026-02-13 03:00:00.000000 UTC,Jaxson Hayes,LAL,DAL,home,W,33.68333333333333,8,10,0.8,0,0,0.0,4,3,4,1,3,1,4,16,26,41.4,2021,Other,2,14,38
2025-26,2026-02-12,2026-02-13 03:00:00.000000 UTC,Jaxson Hayes,LAL,DAL,home,W,33.68333333333333,8,10,0.8,0,0,0.0,4,3,4,1,3,1,4,16,26,41.4,2021,Highlight,1,6,69
2025-26,2026-02-12,2026-02-13 03:00:00.000000 UTC,Rui Hachimura,LAL,DAL,home,W,34.9,9,13,0.692,0,0,0.0,0,3,1,1,1,0,4,21,18,28.1,2094,Highlight,1,7,27
2025-26,2026-02-12,2026-02-13 03:00:00.000000 UTC,Rui Hachimura,LAL,DAL,home,W,34.9,9,13,0.692,0,0,0.0,0,3,1,1,1,0,4,21,18,28.1,2094,Other,3,5,43
2025-26,2026-02-12,2026-02-13 03:00:00.000000 UTC,LeBron James,LAL,DAL,home,W,35.35,10,20,0.5,6,7,0.857,0,10,12,4,0,1,0,28,6,57.0,2121,Highlight,2,30,300
2025-26,2026-02-12,2026-02-13 03:00:00.000000 UTC,LeBron James,LAL,DAL,home,W,35.35,10,20,0.5,6,7,0.857,0,10,12,4,0,1,0,28,6,57.0,2121,Other,9,260,2934
2025-26,2026-02-12,2026-02-13 03:00:00.000000 UTC,LeBron James,LAL,DAL,home,W,35.35,10,20,0.5,6,7,0.857,0,10,12,4,0,1,0,28,6,57.0,2121,Post Game Thread,1,57,251
2025-26,2026-02-12,2026-02-13 00:30:00.000000 UTC,Cam Thomas,MIL,OKC,away,W,20.0,5,13,0.385,1,1,1.0,0,1,2,1,0,0,1,12,15,15.2,1200,Highlight,2,37,333
2025-26,2026-02-12,2026-02-13 00:30:00.000000 UTC,Ousmane Dieng,MIL,OKC,away,W,36.466666666666669,7,12,0.583,2,4,0.5,1,10,6,0,1,4,4,19,16,56.2,2188,Other,5,140,961
2025-26,2026-02-12,2026-02-13 00:30:00.000000 UTC,Chet Holmgren,OKC,MIL,home,L,27.483333333333334,5,12,0.417,6,6,1.0,5,8,4,0,0,2,0,16,-8,43.6,1649,Other,1,223,461
